"1","Dr. Kiran Kumar","Pediatrics","Chennai","Tamil Nadu"
"35","Dr. Amit Iyer","Pediatrics","Mumbai","Maharashtra"
"36","Dr. Neha Yadav","Pediatrics","Kolkata","West Bengal"
"37","Dr. Aarti Verma","Psychiatry","Chennai","Tamil Nadu"
"38","Dr. Anita Chopra","Cardiology","Ahmedabad","Gujarat"
"39","Dr. Pooja Patel","Gynecology","Ahmedabad","Gujarat"
"40","Dr. Rohit Sharma","Gastroenterology","Lucknow","Uttar Pradesh"
"41","Dr. Kavita Reddy","Cardiology","Ahmedabad","Gujarat"
"42","Dr. Kavita Yadav","Gastroenterology","Pune","Maharashtra"
"43","Dr. Sunil Yadav","Oncology","Pune","Maharashtra"
"44","Dr. Shreya Sharma","Pediatrics","Lucknow","Uttar Pradesh"
"45","Dr. Pooja Patel","Dermatology","Delhi","Delhi"
"46","Dr. Suresh Kumar","Dermatology","Jaipur","Rajasthan"
"47","Dr. Suresh Iyer","Pediatrics","Ahmedabad","Gujarat"
"48","Dr. Sunil Yadav","Pulmonology","Pune","Maharashtra"
"49","Dr. Neha Yadav","Neurology","Chennai","Tamil Nadu"
"50","Dr. Sunita Verma","General Medicine","Hyderabad","Telangana"
"51","Dr. Prakash Chopra","General Medicine","Chennai","Tamil Nadu"
"52","Dr. Shreya Verma","General Medicine","Ahmedabad","Gujarat"
"53","Dr. Neha Reddy","Gynecology","Mumbai","Maharashtra"
"54","Dr. Meena Yadav","ENT","Delhi","Delhi"
"55","Dr. Anita Kumar","Gastroenterology","Chennai","Tamil Nadu"
"56","Dr. Shreya Singh","Gastroenterology","Pune","Maharashtra"
"57","Dr. Suresh Verma","Gynecology","Ahmedabad","Gujarat"
"58","Dr. Amit Das","Gynecology","Kolkata","West Bengal"
"59","Dr. Rajesh Verma","Pediatrics","Chennai","Tamil Nadu"
"60","Dr. Deepak Verma","Dermatology","Jaipur","Rajasthan"
"61","Dr. Kiran Iyer","Urology","Mumbai","Maharashtra"
"62","Dr. Priya Das","Orthopedics","Delhi","Delhi"
"63","Dr. Priya Yadav","Gynecology","Ahmedabad","Gujarat"
"64","Dr. Meena Sharma","Neurology","Delhi","Delhi"
"65","Dr. Meena Iyer","Orthopedics","Kolkata","West Bengal"
"66","Dr. Kavita Das","General Medicine","Ahmedabad","Gujarat"
"67","Dr. Vijay Singh","General Medicine","Delhi","Delhi"
"68","Dr. Prakash Das","Pediatrics","Jaipur","Rajasthan"
"69","Dr. Pooja Singh","Pulmonology","Pune","Maharashtra"
"70","Dr. Sunita Kumar","Orthopedics","Ahmedabad","Gujarat"
"71","Dr. Aarti Chopra","Psychiatry","Ahmedabad","Gujarat"
"72","Dr. Neha Iyer","Pediatrics","Chennai","Tamil Nadu"
"73","Dr. Priya Das","Psychiatry","Kolkata","West Bengal"
"74","Dr. Sunil Kumar","Pediatrics","Ahmedabad","Gujarat"
"75","Dr. Priya Kumar","Orthopedics","Ahmedabad","Gujarat"
"76","Dr. Ritu Verma","General Medicine","Bengaluru","Karnataka"
"77","Dr. Aarti Reddy","General Medicine","Lucknow","Uttar Pradesh"
"78","Dr. Priya Sharma","General Medicine","Delhi","Delhi"
"79","Dr. Anita Singh","Orthopedics","Kolkata","West Bengal"
"80","Dr. Aarti Reddy","Dermatology","Kolkata","West Bengal"
"81","Dr. Sunita Verma","Gastroenterology","Delhi","Delhi"
"82","Dr. Shreya Singh","Dermatology","Jaipur","Rajasthan"
"83","Dr. Kavita Sharma","General Medicine","Jaipur","Rajasthan"
"84","Dr. Kavita Iyer","Gynecology","Pune","Maharashtra"
"85","Dr. Rohit Singh","Gastroenterology","Kolkata","West Bengal"
"86","Dr. Neha Sharma","ENT","Mumbai","Maharashtra"
"87","Dr. Anil Sharma","Dermatology","Lucknow","Uttar Pradesh"
"88","Dr. Sunil Kumar","Oncology","Jaipur","Rajasthan"
"89","Dr. Pooja Verma","Urology","Chennai","Tamil Nadu"
"90","Dr. Aarti Verma","Dermatology","Lucknow","Uttar Pradesh"
"91","Dr. Pooja Iyer","Psychiatry","Jaipur","Rajasthan"
"92","Dr. Rajesh Reddy","Cardiology","Bengaluru","Karnataka"
"93","Dr. Anita Chopra","Gastroenterology","Ahmedabad","Gujarat"
"94","Dr. Anita Chopra","Dermatology","Mumbai","Maharashtra"
"95","Dr. Sunil Verma","General Medicine","Jaipur","Rajasthan"
"96","Dr. Kavita Verma","Gastroenterology","Pune","Maharashtra"
"97","Dr. Vijay Sharma","Dermatology","Pune","Maharashtra"
"98","Dr. Priya Reddy","Neurology","Jaipur","Rajasthan"
"99","Dr. Amit Iyer","Gynecology","Mumbai","Maharashtra"
"100","Dr. Kiran Reddy","Gynecology","Mumbai","Maharashtra"
"101","Dr. Vijay Iyer","Psychiatry","Mumbai","Maharashtra"
"102","Dr. Pooja Singh","Neurology","Chennai","Tamil Nadu"
"103","Dr. Ritu Kumar","Urology","Lucknow","Uttar Pradesh"
"104","Dr. Rajesh Das","Dermatology","Mumbai","Maharashtra"
"105","Dr. Kavita Reddy","Pediatrics","Lucknow","Uttar Pradesh"
"106","Dr. Ritu Yadav","Pulmonology","Jaipur","Rajasthan"
"107","Dr. Neha Iyer","Oncology","Jaipur","Rajasthan"
"108","Dr. Rajesh Verma","Cardiology","Kolkata","West Bengal"
"109","Dr. Vijay Iyer","Urology","Mumbai","Maharashtra"
"110","Dr. Vijay Yadav","Urology","Lucknow","Uttar Pradesh"
"111","Dr. Kavita Verma","Cardiology","Kolkata","West Bengal"
"112","Dr. Kiran Chopra","Pediatrics","Pune","Maharashtra"
"113","Dr. Deepak Reddy","Oncology","Kolkata","West Bengal"
"114","Dr. Vijay Reddy","Orthopedics","Lucknow","Uttar Pradesh"
"115","Dr. Rohit Iyer","Urology","Bengaluru","Karnataka"
"116","Dr. Rajesh Iyer","Psychiatry","Pune","Maharashtra"
"117","Dr. Shreya Reddy","General Medicine","Delhi","Delhi"
"118","Dr. Kavita Verma","Pulmonology","Kolkata","West Bengal"
"119","Dr. Rajesh Reddy","Gynecology","Kolkata","West Bengal"
"120","Dr. Prakash Verma","Psychiatry","Jaipur","Rajasthan"
"121","Dr. Rohit Kumar","Pediatrics","Jaipur","Rajasthan"
"122","Dr. Sunita Sharma","Cardiology","Hyderabad","Telangana"
"123","Dr. Aarti Sharma","Gynecology","Lucknow","Uttar Pradesh"
"124","Dr. Vijay Kumar","Cardiology","Lucknow","Uttar Pradesh"
"125","Dr. Pooja Singh","Orthopedics","Pune","Maharashtra"
"126","Dr. Sunil Sharma","Urology","Jaipur","Rajasthan"
"127","Dr. Rajesh Singh","Gynecology","Mumbai","Maharashtra"
"128","Dr. Anita Verma","Urology","Jaipur","Rajasthan"
"129","Dr. Ritu Sharma","Gastroenterology","Lucknow","Uttar Pradesh"
"130","Dr. Amit Singh","Psychiatry","Bengaluru","Karnataka"
"131","Dr. Kavita Sharma","ENT","Bengaluru","Karnataka"
"132","Dr. Sunita Kumar","Dermatology","Chennai","Tamil Nadu"
"133","Dr. Meena Iyer","Urology","Lucknow","Uttar Pradesh"
"134","Dr. Kiran Yadav","Cardiology","Chennai","Tamil Nadu"
"135","Dr. Sunil Reddy","Gynecology","Kolkata","West Bengal"
"136","Dr. Deepak Reddy","ENT","Chennai","Tamil Nadu"
"137","Dr. Sunita Verma","Psychiatry","Mumbai","Maharashtra"
"138","Dr. Rajesh Verma","Dermatology","Mumbai","Maharashtra"
"139","Dr. Aarti Das","ENT","Kolkata","West Bengal"
"140","Dr. Deepak Verma","Psychiatry","Lucknow","Uttar Pradesh"
"141","Dr. Sunita Das","Orthopedics","Jaipur","Rajasthan"
"142","Dr. Ritu Reddy","General Medicine","Kolkata","West Bengal"
"143","Dr. Kiran Iyer","Neurology","Kolkata","West Bengal"
"144","Dr. Prakash Singh","Oncology","Bengaluru","Karnataka"
"145","Dr. Rohit Singh","General Medicine","Chennai","Tamil Nadu"
"146","Dr. Aarti Patel","Gastroenterology","Bengaluru","Karnataka"
"147","Dr. Vijay Reddy","Orthopedics","Lucknow","Uttar Pradesh"
"148","Dr. Sunil Iyer","Gynecology","Ahmedabad","Gujarat"
"149","Dr. Sunil Sharma","Oncology","Mumbai","Maharashtra"
"150","Dr. Prakash Patel","Psychiatry","Chennai","Tamil Nadu"
"151","Dr. Rohit Das","Gastroenterology","Chennai","Tamil Nadu"
"152","Dr. Rohit Iyer","ENT","Ahmedabad","Gujarat"
"153","Dr. Rajesh Kumar","General Medicine","Bengaluru","Karnataka"
"154","Dr. Kavita Sharma","Orthopedics","Pune","Maharashtra"
"155","Dr. Kavita Das","Gynecology","Kolkata","West Bengal"
"156","Dr. Anita Yadav","General Medicine","Hyderabad","Telangana"
"157","Dr. Rohit Sharma","Pediatrics","Chennai","Tamil Nadu"
"158","Dr. Neha Reddy","Pulmonology","Chennai","Tamil Nadu"
"159","Dr. Rohit Verma","Gynecology","Ahmedabad","Gujarat"
"160","Dr. Sunil Yadav","Gastroenterology","Chennai","Tamil Nadu"
"161","Dr. Kiran Das","Pulmonology","Delhi","Delhi"
"162","Dr. Neha Kumar","Dermatology","Mumbai","Maharashtra"
"163","Dr. Amit Kumar","Urology","Mumbai","Maharashtra"
"164","Dr. Amit Reddy","General Medicine","Lucknow","Uttar Pradesh"
"165","Dr. Neha Singh","Neurology","Delhi","Delhi"
"166","Dr. Aarti Sharma","Gastroenterology","Kolkata","West Bengal"
"167","Dr. Kavita Patel","Pulmonology","Hyderabad","Telangana"
"168","Dr. Prakash Sharma","Pediatrics","Chennai","Tamil Nadu"
"169","Dr. Anita Sharma","General Medicine","Kolkata","West Bengal"
"170","Dr. Sunil Singh","Pulmonology","Ahmedabad","Gujarat"
"171","Dr. Rohit Yadav","Orthopedics","Jaipur","Rajasthan"
"172","Dr. Suresh Yadav","Gynecology","Bengaluru","Karnataka"
"173","Dr. Amit Chopra","Cardiology","Bengaluru","Karnataka"
"174","Dr. Sunil Kumar","Gastroenterology","Pune","Maharashtra"
"175","Dr. Shreya Kumar","Cardiology","Pune","Maharashtra"
"176","Dr. Ritu Iyer","Pediatrics","Mumbai","Maharashtra"
"177","Dr. Kavita Reddy","Cardiology","Delhi","Delhi"
"178","Dr. Priya Reddy","Psychiatry","Lucknow","Uttar Pradesh"
"179","Dr. Kavita Sharma","Neurology","Bengaluru","Karnataka"
"180","Dr. Shreya Sharma","Oncology","Delhi","Delhi"
"181","Dr. Kavita Kumar","Gastroenterology","Mumbai","Maharashtra"
"182","Dr. Kiran Chopra","Dermatology","Bengaluru","Karnataka"
"183","Dr. Aarti Yadav","Urology","Chennai","Tamil Nadu"
"184","Dr. Neha Yadav","Orthopedics","Jaipur","Rajasthan"
"185","Dr. Anita Patel","Orthopedics","Lucknow","Uttar Pradesh"
"186","Dr. Suresh Yadav","Gastroenterology","Jaipur","Rajasthan"
"187","Dr. Kiran Das","Gynecology","Hyderabad","Telangana"
"188","Dr. Amit Kumar","General Medicine","Chennai","Tamil Nadu"
"189","Dr. Priya Kumar","Pulmonology","Ahmedabad","Gujarat"
"190","Dr. Aarti Chopra","Pulmonology","Pune","Maharashtra"
"191","Dr. Vijay Yadav","General Medicine","Delhi","Delhi"
"192","Dr. Rajesh Patel","Oncology","Lucknow","Uttar Pradesh"
"193","Dr. Sunil Sharma","Psychiatry","Jaipur","Rajasthan"
"194","Dr. Suresh Chopra","Cardiology","Pune","Maharashtra"
"195","Dr. Prakash Iyer","Gynecology","Ahmedabad","Gujarat"
"196","Dr. Aarti Yadav","Oncology","Kolkata","West Bengal"
"197","Dr. Ritu Reddy","Cardiology","Delhi","Delhi"
"198","Dr. Ritu Reddy","Pulmonology","Lucknow","Uttar Pradesh"
"199","Dr. Vijay Kumar","Orthopedics","Ahmedabad","Gujarat"
"200","Dr. Anita Chopra","Neurology","Kolkata","West Bengal"
"201","Dr. Prakash Yadav","Cardiology","Chennai","Tamil Nadu"
"202","Dr. Suresh Iyer","Pulmonology","Mumbai","Maharashtra"
"203","Dr. Amit Das","Urology","Mumbai","Maharashtra"
"204","Dr. Prakash Iyer","Orthopedics","Bengaluru","Karnataka"
"205","Dr. Rajesh Iyer","Oncology","Hyderabad","Telangana"
"206","Dr. Neha Iyer","Gastroenterology","Delhi","Delhi"
"207","Dr. Pooja Singh","Pulmonology","Kolkata","West Bengal"
"208","Dr. Meena Sharma","Pulmonology","Pune","Maharashtra"
"209","Dr. Kavita Sharma","Cardiology","Chennai","Tamil Nadu"
"210","Dr. Amit Patel","Oncology","Mumbai","Maharashtra"
"211","Dr. Rajesh Kumar","Gastroenterology","Mumbai","Maharashtra"
"212","Dr. Kavita Verma","Urology","Chennai","Tamil Nadu"
"213","Dr. Deepak Yadav","Gynecology","Kolkata","West Bengal"
"214","Dr. Amit Chopra","Orthopedics","Ahmedabad","Gujarat"
"215","Dr. Pooja Patel","Neurology","Pune","Maharashtra"
"216","Dr. Sunil Verma","Gastroenterology","Chennai","Tamil Nadu"
"217","Dr. Neha Das","General Medicine","Pune","Maharashtra"
"218","Dr. Kavita Kumar","Orthopedics","Hyderabad","Telangana"
"219","Dr. Suresh Patel","Gastroenterology","Mumbai","Maharashtra"
"220","Dr. Suresh Kumar","ENT","Kolkata","West Bengal"
"221","Dr. Prakash Das","Urology","Chennai","Tamil Nadu"
"222","Dr. Shreya Reddy","General Medicine","Bengaluru","Karnataka"
"223","Dr. Aarti Patel","Cardiology","Lucknow","Uttar Pradesh"
"224","Dr. Meena Reddy","Urology","Kolkata","West Bengal"
"225","Dr. Amit Das","ENT","Kolkata","West Bengal"
"226","Dr. Amit Singh","Cardiology","Ahmedabad","Gujarat"
"227","Dr. Prakash Sharma","ENT","Lucknow","Uttar Pradesh"
"228","Dr. Neha Patel","Urology","Jaipur","Rajasthan"
"229","Dr. Aarti Singh","Gastroenterology","Chennai","Tamil Nadu"
"230","Dr. Vijay Verma","Oncology","Mumbai","Maharashtra"
"231","Dr. Kiran Verma","Oncology","Jaipur","Rajasthan"
"232","Dr. Shreya Kumar","ENT","Delhi","Delhi"
"233","Dr. Deepak Yadav","Neurology","Kolkata","West Bengal"
"234","Dr. Rohit Sharma","Gynecology","Kolkata","West Bengal"
"235","Dr. Neha Verma","Neurology","Kolkata","West Bengal"
"236","Dr. Ritu Patel","Psychiatry","Hyderabad","Telangana"
"237","Dr. Deepak Sharma","Pulmonology","Kolkata","West Bengal"
"238","Dr. Meena Sharma","Neurology","Pune","Maharashtra"
"239","Dr. Prakash Verma","Oncology","Kolkata","West Bengal"
"240","Dr. Amit Iyer","Gastroenterology","Delhi","Delhi"
"241","Dr. Vijay Verma","Pulmonology","Jaipur","Rajasthan"
"242","Dr. Vijay Verma","General Medicine","Kolkata","West Bengal"
"243","Dr. Neha Yadav","Urology","Chennai","Tamil Nadu"
"244","Dr. Anil Verma","Dermatology","Hyderabad","Telangana"
"245","Dr. Rajesh Patel","ENT","Chennai","Tamil Nadu"
"246","Dr. Suresh Das","General Medicine","Kolkata","West Bengal"
"247","Dr. Shreya Verma","Pediatrics","Kolkata","West Bengal"
"248","Dr. Ritu Patel","Orthopedics","Pune","Maharashtra"
"249","Dr. Kiran Yadav","Gastroenterology","Lucknow","Uttar Pradesh"
"250","Dr. Anita Patel","Pulmonology","Lucknow","Uttar Pradesh"
"251","Dr. Kavita Verma","Gynecology","Bengaluru","Karnataka"
"252","Dr. Ritu Iyer","Orthopedics","Jaipur","Rajasthan"
"253","Dr. Priya Verma","Psychiatry","Hyderabad","Telangana"
"254","Dr. Sunil Patel","ENT","Bengaluru","Karnataka"
"255","Dr. Kavita Kumar","Dermatology","Lucknow","Uttar Pradesh"
"256","Dr. Aarti Iyer","Dermatology","Kolkata","West Bengal"
"257","Dr. Anita Kumar","Cardiology","Kolkata","West Bengal"
"258","Dr. Ritu Kumar","Cardiology","Jaipur","Rajasthan"
"259","Dr. Amit Patel","ENT","Hyderabad","Telangana"
"260","Dr. Ritu Singh","General Medicine","Kolkata","West Bengal"
"261","Dr. Anita Kumar","Dermatology","Hyderabad","Telangana"
"262","Dr. Aarti Chopra","Gynecology","Delhi","Delhi"
"263","Dr. Kavita Chopra","Pulmonology","Delhi","Delhi"
"264","Dr. Deepak Iyer","Gastroenterology","Mumbai","Maharashtra"
"265","Dr. Suresh Verma","Neurology","Ahmedabad","Gujarat"
"266","Dr. Kavita Verma","Orthopedics","Bengaluru","Karnataka"
"267","Dr. Kiran Das","Gynecology","Pune","Maharashtra"
"268","Dr. Ritu Chopra","Psychiatry","Hyderabad","Telangana"
"269","Dr. Deepak Kumar","Gastroenterology","Hyderabad","Telangana"
"270","Dr. Vijay Iyer","Urology","Jaipur","Rajasthan"
"271","Dr. Ritu Sharma","Dermatology","Jaipur","Rajasthan"
"272","Dr. Shreya Patel","Pediatrics","Kolkata","West Bengal"
"273","Dr. Neha Verma","Gastroenterology","Lucknow","Uttar Pradesh"
"274","Dr. Kiran Yadav","Neurology","Pune","Maharashtra"
"275","Dr. Deepak Verma","Dermatology","Bengaluru","Karnataka"
"276","Dr. Anil Patel","Neurology","Bengaluru","Karnataka"
"277","Dr. Meena Das","Pediatrics","Delhi","Delhi"
"278","Dr. Priya Reddy","Orthopedics","Delhi","Delhi"
"279","Dr. Prakash Kumar","ENT","Lucknow","Uttar Pradesh"
"280","Dr. Meena Chopra","Pediatrics","Mumbai","Maharashtra"
"281","Dr. Rajesh Patel","Orthopedics","Delhi","Delhi"
"282","Dr. Rajesh Das","Dermatology","Mumbai","Maharashtra"
"283","Dr. Pooja Sharma","Pulmonology","Bengaluru","Karnataka"
"284","Dr. Rajesh Patel","ENT","Mumbai","Maharashtra"
"285","Dr. Sunil Kumar","Gastroenterology","Kolkata","West Bengal"
"286","Dr. Vijay Chopra","General Medicine","Ahmedabad","Gujarat"
"287","Dr. Meena Patel","Oncology","Kolkata","West Bengal"
"288","Dr. Vijay Iyer","Oncology","Bengaluru","Karnataka"
"289","Dr. Sunita Chopra","Neurology","Mumbai","Maharashtra"
"290","Dr. Sunita Sharma","Oncology","Pune","Maharashtra"
"291","Dr. Prakash Chopra","Dermatology","Mumbai","Maharashtra"
"292","Dr. Kiran Sharma","Psychiatry","Delhi","Delhi"
"293","Dr. Anil Chopra","Cardiology","Kolkata","West Bengal"
"294","Dr. Rajesh Reddy","Oncology","Kolkata","West Bengal"
"295","Dr. Sunita Patel","Orthopedics","Ahmedabad","Gujarat"
"296","Dr. Ritu Das","Orthopedics","Jaipur","Rajasthan"
"297","Dr. Rohit Kumar","Pulmonology","Ahmedabad","Gujarat"
"298","Dr. Aarti Das","Orthopedics","Lucknow","Uttar Pradesh"
"299","Dr. Priya Patel","Gastroenterology","Lucknow","Uttar Pradesh"
"300","Dr. Anita Yadav","ENT","Chennai","Tamil Nadu"
"301","Dr. Shreya Patel","Pulmonology","Hyderabad","Telangana"
"302","Dr. Amit Das","General Medicine","Chennai","Tamil Nadu"
"303","Dr. Aarti Iyer","Cardiology","Jaipur","Rajasthan"
"304","Dr. Meena Das","Neurology","Mumbai","Maharashtra"
"305","Dr. Deepak Reddy","Cardiology","Delhi","Delhi"
"306","Dr. Pooja Sharma","Neurology","Ahmedabad","Gujarat"
"307","Dr. Rohit Sharma","Orthopedics","Mumbai","Maharashtra"
"308","Dr. Priya Sharma","Psychiatry","Hyderabad","Telangana"
"309","Dr. Shreya Singh","Gynecology","Bengaluru","Karnataka"
"310","Dr. Neha Das","Oncology","Hyderabad","Telangana"
"311","Dr. Rajesh Das","ENT","Lucknow","Uttar Pradesh"
"312","Dr. Aarti Das","Orthopedics","Pune","Maharashtra"
"313","Dr. Sunita Singh","Cardiology","Lucknow","Uttar Pradesh"
"314","Dr. Suresh Yadav","Cardiology","Chennai","Tamil Nadu"
"315","Dr. Sunil Kumar","ENT","Delhi","Delhi"
"316","Dr. Deepak Sharma","Pediatrics","Hyderabad","Telangana"
"317","Dr. Rajesh Patel","Oncology","Ahmedabad","Gujarat"
"318","Dr. Anita Yadav","Pulmonology","Mumbai","Maharashtra"
"319","Dr. Anil Reddy","Dermatology","Pune","Maharashtra"
"320","Dr. Sunil Das","Cardiology","Hyderabad","Telangana"
"321","Dr. Priya Verma","General Medicine","Pune","Maharashtra"
"322","Dr. Vijay Chopra","Orthopedics","Lucknow","Uttar Pradesh"
"323","Dr. Kavita Patel","Pediatrics","Mumbai","Maharashtra"
"324","Dr. Ritu Das","Neurology","Jaipur","Rajasthan"
"325","Dr. Suresh Iyer","ENT","Lucknow","Uttar Pradesh"
"326","Dr. Kavita Das","Dermatology","Lucknow","Uttar Pradesh"
"327","Dr. Suresh Singh","Neurology","Ahmedabad","Gujarat"
"328","Dr. Suresh Das","Pulmonology","Hyderabad","Telangana"
"329","Dr. Kiran Reddy","Psychiatry","Chennai","Tamil Nadu"
"330","Dr. Shreya Chopra","Gynecology","Delhi","Delhi"
"331","Dr. Kiran Singh","Oncology","Chennai","Tamil Nadu"
"332","Dr. Suresh Verma","Neurology","Pune","Maharashtra"
"333","Dr. Anita Iyer","Neurology","Lucknow","Uttar Pradesh"
"334","Dr. Meena Patel","Cardiology","Bengaluru","Karnataka"
"335","Dr. Meena Iyer","Cardiology","Mumbai","Maharashtra"
"336","Dr. Rajesh Sharma","Oncology","Kolkata","West Bengal"
"337","Dr. Anil Yadav","Pulmonology","Lucknow","Uttar Pradesh"
"338","Dr. Meena Iyer","Pediatrics","Jaipur","Rajasthan"
"339","Dr. Deepak Verma","Oncology","Hyderabad","Telangana"
"340","Dr. Kavita Singh","Pediatrics","Kolkata","West Bengal"
"341","Dr. Suresh Kumar","ENT","Hyderabad","Telangana"
"342","Dr. Sunil Chopra","Gynecology","Bengaluru","Karnataka"
"343","Dr. Deepak Kumar","Pediatrics","Jaipur","Rajasthan"
"344","Dr. Neha Kumar","Gastroenterology","Hyderabad","Telangana"
"345","Dr. Shreya Yadav","Psychiatry","Kolkata","West Bengal"
"346","Dr. Sunil Reddy","Psychiatry","Chennai","Tamil Nadu"
"347","Dr. Deepak Chopra","Oncology","Jaipur","Rajasthan"
"348","Dr. Neha Kumar","Dermatology","Ahmedabad","Gujarat"
"349","Dr. Shreya Chopra","Orthopedics","Bengaluru","Karnataka"
"350","Dr. Sunil Patel","Pediatrics","Lucknow","Uttar Pradesh"
"351","Dr. Priya Reddy","General Medicine","Mumbai","Maharashtra"
"352","Dr. Neha Reddy","Urology","Bengaluru","Karnataka"
"353","Dr. Priya Iyer","Neurology","Chennai","Tamil Nadu"
"354","Dr. Kavita Yadav","Gynecology","Delhi","Delhi"
"355","Dr. Suresh Yadav","Dermatology","Bengaluru","Karnataka"
"356","Dr. Vijay Yadav","General Medicine","Kolkata","West Bengal"
"357","Dr. Amit Yadav","Gastroenterology","Ahmedabad","Gujarat"
"358","Dr. Sunita Das","Cardiology","Lucknow","Uttar Pradesh"
"359","Dr. Neha Kumar","General Medicine","Chennai","Tamil Nadu"
"360","Dr. Sunita Reddy","Psychiatry","Hyderabad","Telangana"
"361","Dr. Anita Sharma","Cardiology","Hyderabad","Telangana"
"362","Dr. Shreya Patel","Urology","Hyderabad","Telangana"
"363","Dr. Kiran Reddy","Neurology","Jaipur","Rajasthan"
"364","Dr. Anil Patel","Cardiology","Kolkata","West Bengal"
"365","Dr. Rohit Yadav","Pulmonology","Delhi","Delhi"
"366","Dr. Pooja Iyer","ENT","Delhi","Delhi"
"367","Dr. Ritu Iyer","Urology","Pune","Maharashtra"
"368","Dr. Meena Reddy","Psychiatry","Lucknow","Uttar Pradesh"
"369","Dr. Ritu Singh","Gynecology","Bengaluru","Karnataka"
"370","Dr. Rohit Verma","Dermatology","Chennai","Tamil Nadu"
"371","Dr. Kiran Verma","Orthopedics","Ahmedabad","Gujarat"
"372","Dr. Ritu Yadav","Pulmonology","Jaipur","Rajasthan"
"373","Dr. Ritu Reddy","Pediatrics","Pune","Maharashtra"
"374","Dr. Deepak Kumar","Neurology","Kolkata","West Bengal"
"375","Dr. Deepak Chopra","Gynecology","Mumbai","Maharashtra"
"376","Dr. Sunil Iyer","General Medicine","Chennai","Tamil Nadu"
"377","Dr. Suresh Reddy","Urology","Hyderabad","Telangana"
"378","Dr. Deepak Kumar","ENT","Pune","Maharashtra"
"379","Dr. Ritu Singh","Dermatology","Ahmedabad","Gujarat"
"380","Dr. Deepak Chopra","Orthopedics","Lucknow","Uttar Pradesh"
"381","Dr. Anil Das","Gastroenterology","Pune","Maharashtra"
"382","Dr. Vijay Yadav","Gynecology","Kolkata","West Bengal"
"383","Dr. Ritu Sharma","General Medicine","Kolkata","West Bengal"
"384","Dr. Anil Iyer","General Medicine","Pune","Maharashtra"
"385","Dr. Priya Yadav","Gastroenterology","Bengaluru","Karnataka"
"386","Dr. Rohit Das","ENT","Bengaluru","Karnataka"
"387","Dr. Meena Iyer","Gastroenterology","Jaipur","Rajasthan"
"388","Dr. Pooja Chopra","Urology","Mumbai","Maharashtra"
"389","Dr. Vijay Iyer","ENT","Hyderabad","Telangana"
"390","Dr. Anita Das","Pulmonology","Mumbai","Maharashtra"
"391","Dr. Meena Patel","Dermatology","Delhi","Delhi"
"392","Dr. Pooja Verma","Pediatrics","Kolkata","West Bengal"
"393","Dr. Suresh Kumar","Pulmonology","Bengaluru","Karnataka"
"394","Dr. Rajesh Reddy","Oncology","Chennai","Tamil Nadu"
"395","Dr. Aarti Patel","Psychiatry","Kolkata","West Bengal"
